WorkPackageID,Category,Status,Severity,Type,Weakness,File,Line,Origin,FirstSeen,IssueAge,WorkPackageName,Phase,DependsOn
WP-05,Security,RAW,CRITICAL,Untrusted input concatinated with raw SQL query can result in SQL Injection,CWE-89,backend/scripts/verify-regio-apis.js,269,NodeJS Scan,2026-06-10,19,verify-regio-apis SQL injection,2 - Dev tooling,WP-00
WP-05,Security,RAW,CRITICAL,Untrusted input concatinated with raw SQL query can result in SQL Injection,CWE-89,backend/scripts/verify-regio-apis.js,272,NodeJS Scan,2026-06-10,19,verify-regio-apis SQL injection,2 - Dev tooling,WP-00
WP-02,Security,RAW,HIGH,NPM dependency xlsx contains 2 vulnerabilities,CWE-1321,package-lock.json,1,SIG Open Source Health,2026-06-05,24,Frontend xlsx dependency,1 - Dependencies,WP-00
WP-01,Security,RAW,HIGH,NPM dependency multer contains 2 vulnerabilities,CWE-400,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0,Backend npm dependency upgrades,1 - Dependencies,WP-00
WP-01,Security,RAW,HIGH,NPM dependency nodemailer contains 1 vulnerability,CWE-73,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0,Backend npm dependency upgrades,1 - Dependencies,WP-00
WP-01,Security,RAW,HIGH,NPM dependency undici contains 7 vulnerabilities,CWE-400,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0,Backend npm dependency upgrades,1 - Dependencies,WP-00
WP-06,Security,RAW,HIGH,If unverified user data can reach the `puppeteer` methods it can result in Server-Side Request Forgery vulnerabilities,CWE-918,backend/src/routes/emails/sendEmail.ts,205,Semgrep,2026-06-05,24,sendEmail.ts single refactor,3 - sendEmail cluster,WP-01
WP-06,Security,RAW,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,164,Semgrep,2026-06-05,24,sendEmail.ts single refactor,3 - sendEmail cluster,WP-01
WP-07,Security,RAW,MEDIUM,Untrusted user input in redirect() can result in Open Redirect vulnerability,CWE-601,backend/src/routes/auth/authKeycloak/callbackHandler.ts,35,NodeJS Scan,2026-06-05,24,Keycloak callback open redirect,3 - Auth/HTML,WP-00
WP-08,Security,RAW,MEDIUM,This template literal looks like HTML and has interpolated variables,CWE-116,backend/src/helpers/renderDownloadPage.ts,26,Semgrep,2026-06-05,24,renderDownloadPage HTML template,3 - Auth/HTML,WP-06
WP-06,Security,RAW,MEDIUM,This template literal looks like HTML and has interpolated variables,CWE-116,backend/src/routes/emails/sendEmail.ts,47,Semgrep,2026-06-05,24,sendEmail.ts single refactor,3 - sendEmail cluster,WP-01
WP-07,Security,RAW,MEDIUM,Untrusted user input in redirect() can result in Open Redirect vulnerability,CWE-601,backend/src/routes/auth/authKeycloak/callbackHandler.ts,10,NodeJS Scan,2026-06-04,25,Keycloak callback open redirect,3 - Auth/HTML,WP-00
WP-06,Security,RAW,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,165,Semgrep,2026-06-05,24,sendEmail.ts single refactor,3 - sendEmail cluster,WP-01
WP-06,Security,RAW,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,167,Semgrep,2026-06-05,24,sendEmail.ts single refactor,3 - sendEmail cluster,WP-01
WP-06,Security,RAW,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,163,Semgrep,2026-06-05,24,sendEmail.ts single refactor,3 - sendEmail cluster,WP-01
WP-06,Security,RAW,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,169,Semgrep,2026-06-05,24,sendEmail.ts single refactor,3 - sendEmail cluster,WP-01
WP-01,Reliability,RAW,HIGH,NPM dependency multer contains 2 vulnerabilities,CWE-400,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0,Backend npm dependency upgrades,1 - Dependencies,WP-00
WP-01,Reliability,RAW,HIGH,NPM dependency undici contains 7 vulnerabilities,CWE-400,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0,Backend npm dependency upgrades,1 - Dependencies,WP-00
