Description,Severity,Status,First Seen,Issue age,Type,Weakness,File,Technology,Origin,Remark,Locations
Untrusted input concatinated with raw SQL query can result in SQL Injection (CWE-89),CRITICAL,FIXED,2026-06-10,48,Untrusted input concatinated with raw SQL query can result in SQL Injection,CWE-89,backend/scripts/verify-regio-apis.js#L269,-,NodeJS Scan,-,backend/scripts/verify-regio-apis.js#L269
Untrusted input concatinated with raw SQL query can result in SQL Injection (CWE-89),CRITICAL,FIXED,2026-06-10,48,Untrusted input concatinated with raw SQL query can result in SQL Injection,CWE-89,backend/scripts/verify-regio-apis.js#L272,-,NodeJS Scan,-,backend/scripts/verify-regio-apis.js#L272
NPM dependency xlsx contains 2 vulnerabilities (CWE-1321),HIGH,FIXED,2026-06-05,53,NPM dependency xlsx contains 2 vulnerabilities,CWE-1321,package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2023-30533 (7.8) 
CVE-2024-22363 (7.5) 
For further details, please visit Sigrid's Open Source Health page.",package-lock.json#L1
NPM dependency multer contains 2 vulnerabilities (CWE-400),HIGH,FIXED,2026-06-29,29,NPM dependency multer contains 2 vulnerabilities,CWE-400,backend/package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2026-5079 (7.5) 
CVE-2026-5038 (5.3) 
For further details, please visit Sigrid's Open Source Health page.",backend/package-lock.json#L1
Missing User Instruction (CWE-266),HIGH,RAW,2026-06-04,54,Missing User Instruction,CWE-266,dockerfile#L22,Docker,KICS,-,dockerfile#L22
NPM dependency nodemailer contains 1 vulnerability (CWE-73),HIGH,FIXED,2026-06-29,29,NPM dependency nodemailer contains 1 vulnerability,CWE-73,backend/package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
null (7.1) 
For further details, please visit Sigrid's Open Source Health page.",backend/package-lock.json#L1
Missing User Instruction (CWE-266),HIGH,RAW,2026-06-04,54,Missing User Instruction,CWE-266,backend/dockerfile#L4,Docker,KICS,-,backend/dockerfile#L4
NPM dependency undici contains 7 vulnerabilities (CWE-400),HIGH,FIXED,2026-06-29,29,NPM dependency undici contains 7 vulnerabilities,CWE-400,backend/package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2026-12151 (7.5) 
CVE-2026-6734 (7.5) 
CVE-2026-9697 (7.4) 
CVE-2026-9678 (5.9) 
CVE-2026-9679 (5.9) 
CVE-2026-6733 (3.7) 
CVE-2026-11525 (3.7) 
For further details, please visit Sigrid's Open Source Health page.",backend/package-lock.json#L1
NPM dependency axios contains 10 vulnerabilities (CWE-1321),HIGH,FIXED,2026-07-21,7,NPM dependency axios contains 10 vulnerabilities,CWE-1321,package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
null (8.3) 
null (6.9) 
null (6.9) 
null (6.3) 
null (6.3) 
null (6.3) 
null (6.3) 
null (6.3) 
null (6.3) 
null (6.3) 
For further details, please visit Sigrid's Open Source Health page.",package-lock.json#L1
If unverified user data can reach the `puppeteer` methods it can result in Server-Side Request Forgery vulnerabilities (CWE-918),HIGH,FIXED,2026-06-05,53,If unverified user data can reach the `puppeteer` methods it can result in Server-Side Request Forgery vulnerabilities,CWE-918,backend/src/routes/emails/sendEmail.ts#L205,TypeScript,Semgrep,-,backend/src/routes/emails/sendEmail.ts#L205
