Description,Severity,Status,First Seen,Issue age,Type,Weakness,File,Technology,Origin,Remark,Locations
NPM dependency jspdf contains 12 vulnerabilities (CWE-79),CRITICAL,FIXED,2026-06-04,25,NPM dependency jspdf contains 12 vulnerabilities,CWE-79,package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2026-31938 (9.6) 
CVE-2025-68428 (9.2) 
CVE-2025-57810 (8.7) 
CVE-2025-29907 (8.7) 
CVE-2026-24133 (8.7) 
CVE-2026-25535 (8.7) 
CVE-2026-24737 (8.1) 
CVE-2026-25940 (8.1) 
CVE-2026-25755 (8.1) 
CVE-2026-31898 (8.1) 
CVE-2026-24043 (6.9) 
CVE-2026-24040 (6.3) 
For further details, please visit Sigrid's Open Source Health page.",package-lock.json#L1
Untrusted input concatinated with raw SQL query can result in SQL Injection (CWE-89),CRITICAL,FIXED,2026-06-10,19,Untrusted input concatinated with raw SQL query can result in SQL Injection,CWE-89,backend/scripts/verify-regio-apis.js#L269,-,NodeJS Scan,-,backend/scripts/verify-regio-apis.js#L269
Untrusted input concatinated with raw SQL query can result in SQL Injection (CWE-89),CRITICAL,FIXED,2026-06-10,19,Untrusted input concatinated with raw SQL query can result in SQL Injection,CWE-89,backend/scripts/verify-regio-apis.js#L272,-,NodeJS Scan,-,backend/scripts/verify-regio-apis.js#L272
The package-lock.json file contains at least 1 library whose integrity is not checked (CWE-494),CRITICAL,FIXED,2026-06-04,25,The package-lock.json file contains at least 1 library whose integrity is not checked,CWE-494,package-lock.json#L6,-,SIG Code Patterns,-,package-lock.json#L6
Seccomp Profile Is Not Configured (CWE-15),HIGH,FIXED,2026-06-04,25,Seccomp Profile Is Not Configured,CWE-15,k8s/lis-frontend-dep.yaml#L39,-,KICS,-,k8s/lis-frontend-dep.yaml#L39
Pod or Container Without ResourceQuota (CWE-15),HIGH,FIXED,2026-06-04,25,Pod or Container Without ResourceQuota,CWE-15,k8s/lis-backend-dep.yaml#L22,-,KICS,-,k8s/lis-backend-dep.yaml#L22
NPM dependency xlsx contains 2 vulnerabilities (CWE-1321),HIGH,RAW,2026-06-05,24,NPM dependency xlsx contains 2 vulnerabilities,CWE-1321,package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2023-30533 (7.8) 
CVE-2024-22363 (7.5) 
For further details, please visit Sigrid's Open Source Health page.",package-lock.json#L1
NPM dependency multer contains 2 vulnerabilities (CWE-400),HIGH,FIXED,2026-06-29,0,NPM dependency multer contains 2 vulnerabilities,CWE-400,backend/package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2026-5079 (7.5) 
CVE-2026-5038 (5.3) 
For further details, please visit Sigrid's Open Source Health page.",backend/package-lock.json#L1
Pod or Container Without LimitRange (CWE-15),HIGH,FIXED,2026-06-04,25,Pod or Container Without LimitRange,CWE-15,k8s/lis-frontend-dep.yaml#L22,-,KICS,-,k8s/lis-frontend-dep.yaml#L22
Missing User Instruction (CWE-266),HIGH,RAW,2026-06-04,25,Missing User Instruction,CWE-266,dockerfile#L22,Docker,KICS,-,dockerfile#L22
NET_RAW Capabilities Not Being Dropped (CWE-15),HIGH,FIXED,2026-06-04,25,NET_RAW Capabilities Not Being Dropped,CWE-15,k8s/lis-frontend-dep.yaml#L34,-,KICS,-,k8s/lis-frontend-dep.yaml#L34
If unverified user data can reach the `puppeteer` methods it can result in Server-Side Request Forgery vulnerabilities (CWE-918),HIGH,FIXED,2026-06-04,25,If unverified user data can reach the `puppeteer` methods it can result in Server-Side Request Forgery vulnerabilities,CWE-918,backend/src/routes/emails/sendEmail.ts#L149,TypeScript,Semgrep,-,backend/src/routes/emails/sendEmail.ts#L149
NPM dependency axios contains 22 vulnerabilities (CWE-441),HIGH,FIXED,2026-06-04,25,NPM dependency axios contains 22 vulnerabilities,CWE-441,package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2026-44494 (8.7) 
CVE-2026-44492 (8.6) 
CVE-2025-58754 (7.5) 
CVE-2026-25639 (7.5) 
CVE-2026-42035 (7.4) 
CVE-2026-42033 (7.4) 
CVE-2026-42264 (7.4) 
CVE-2026-42043 (7.2) 
CVE-2026-44495 (7.0) 
CVE-2026-42039 (6.9) 
CVE-2026-42038 (6.8) 
CVE-2026-42044 (6.5) 
CVE-2025-62718 (6.3) 
CVE-2026-39865 (5.9) 
CVE-2026-42042 (5.4) 
CVE-2026-42036 (5.3) 
CVE-2026-42034 (5.3) 
CVE-2026-42037 (5.3) 
CVE-2026-40175 (4.8) 
CVE-2026-44490 (4.8) 
CVE-2026-42041 (4.8) 
CVE-2026-42040 (3.7) 
For further details, please visit Sigrid's Open Source Health page.",package-lock.json#L1
NPM dependency xlsx contains 2 vulnerabilities (CWE-1321),HIGH,FIXED,2026-06-04,25,NPM dependency xlsx contains 2 vulnerabilities,CWE-1321,package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2023-30533 (7.8) 
CVE-2024-22363 (7.5) 
For further details, please visit Sigrid's Open Source Health page.",package-lock.json#L1
Container Running As Root (CWE-266),HIGH,FIXED,2026-06-04,25,Container Running As Root,CWE-266,k8s/lis-frontend-dep.yaml#L41,-,KICS,-,k8s/lis-frontend-dep.yaml#L41
Container Running As Root (CWE-266),HIGH,FIXED,2026-06-04,25,Container Running As Root,CWE-266,k8s/lis-backend-dep.yaml#L46,-,KICS,-,k8s/lis-backend-dep.yaml#L46
